Amount,Details,TransactionDate
6,Bike House Sport       Dunedin       Nz ,15/11/22
81.71,Countdown Online       Auckland      Nz ,15/11/22
74.67,Dunedin Warrant Of Fit Dunedin       Nz ,15/11/22
1.69,Apple.Com/Bill         Sydney        Au ,14/11/22
167.26,Waking Up Course Llc   Httpswakingup Ca ,14/11/22
53.99,Uber   *Eats           Help.Uber.Com Nz ,13/11/22
10,2Degrees Mobile        Auckland      Nz ,13/11/22
70.18,Hallenstein Online     Auckland      Nz ,11/11/22
10,Emerson'S Taproom      Dunedin       Nz ,11/11/22
12,Emerson'S Taproom      Dunedin       Nz ,11/11/22
12,Emerson'S Taproom      Dunedin       Nz ,11/11/22
17,Megazone Dunedin       Dunedin       Nz ,11/11/22
72.42,Pak N Save Dunedin     Sth Dunedin   Nz ,10/11/22
168.34,Frank Energy           093612154     Nz ,10/11/22
41.7,Bin Inn Foodmarket     Dunedin       Nz ,9/11/22
28.24,New World Centre City  Dunedin       Nz ,9/11/22
139.09,Countdown Online       Auckland      Nz ,8/11/22
57.8,Uber   *Eats           Help.Uber.Com Nz ,3/11/22
2.99,New World Centre City  Dunedin       Nz ,3/11/22
67.58,Bp Connect Southern    Dunedin       Nz ,2/11/22
117.33,Countdown Online       Auckland      Nz ,1/11/22
11.27,New World Centre City  Dunedin       Nz ,31/10/22
63.43,Bespoke Kitchen        Queenstown    Nz ,28/10/22
1386.75,Direct Debit Payment - Thank You ,28/10/22
159,Milford Restaurant     Queenstown    Nz ,27/10/22
179.85,Countdown Online       Auckland      Nz ,26/10/22
13.87,New World Centre City  Dunedin       Nz ,26/10/22
48.04,Rebel Sport            Mt Albert     Nz ,24/10/22
76.1,Evolution Cycles Onl   Hamilton      Nz ,24/10/22
24.08,Chargenet Nz Limited   Rosedale      Nz ,23/10/22
103.5,Parklands Motel        Te Anau       Nz ,21/10/22
6.43,Chargenet Nz Limited   Rosedale      Nz ,21/10/22
30,Dunedin Visitor Centre Dunedin       Nz ,21/10/22
32,Best Kebabs            Gore          Nz ,21/10/22
89.45,Pak N Save Dunedin     Sth Dunedin   Nz ,20/10/22
23,Ombrellos              Dunedin       Nz ,20/10/22
209,Concord Garage         Dunedin       Nz ,20/10/22
35.95,Countdown Dunedin Ctr  Dunedin       Nz ,19/10/22
128.54,Countdown Online       Auckland      Nz ,18/10/22
1123.8,Air Nz One             Auckland      Nz ,17/10/22
4.48,New World Centre City  Dunedin       Nz ,17/10/22
13.56,Npd Green Island       Dunedin       Nz ,16/10/22
310.95,Physiopedia Plus       London        Gb ,16/10/22
75.58,Pak N Save Dunedin     Sth Dunedin   Nz ,14/10/22
10,2Degrees Mobile        Auckland      Nz ,13/10/22
14.87,New World Centre City  Dunedin       Nz ,12/10/22
66.94,Bp Connect Southern    Dunedin       Nz ,12/10/22
3,Dunedin North Oai      Dunedin       Nz ,12/10/22
210.68,Frank Energy           093612154     Nz ,12/10/22
16,Guild                  Dunedin       Nz ,12/10/22
